date,P_t,pi_t
2017-07-01,207.311748329621,2.26112058675854
2017-08-01,207.658982925019,2.038456841157
2017-09-01,207.658982925019,2.00644523952501
2017-10-01,210.041481069042,2.46605676760237
2017-11-01,210.041481069042,2.43876034954358
2017-12-01,210.041481069042,2.46196741236844
2018-01-01,211.20406961178,2.4968261166729
2018-02-01,211.53734939759,2.78000460930767
2018-03-01,211.832369477912,2.88717151497552
2018-04-01,212.187130745203,2.78503379166125
2018-05-01,212.296546184739,2.83803544925723
2018-06-01,212.434154395359,2.63277791147929
2018-07-01,212.918786256136,2.70464070256124
2018-08-01,213.247032574743,2.69097419770304
2018-09-01,213.281231593039,2.70744303416447
2018-10-01,214.433779562695,2.09115764719309
2018-11-01,214.379071842927,2.0651114969329
2018-12-01,214.379071842927,2.0651114969329
2019-01-01,215.508870764315,2.03821884703617
2019-02-01,216.176456739258,2.19304409121091
2019-03-01,215.915916925923,1.92772589858462
2019-04-01,216.846035483057,2.19565848385437
2019-05-01,215.697065500715,1.60177797382376
2019-06-01,215.915916925923,1.63898434339503
2019-07-01,216.114933153956,1.50111080098661
2019-08-01,216.592407298411,1.56877902743845
2019-09-01,216.754553098461,1.6285171833825
2019-10-01,218.677020095855,1.97881161345609
2019-11-01,218.731732952157,2.0303572880559
2019-12-01,217.827974438745,1.60878698007664
2020-01-01,220.709313219532,2.41309902315053
2020-02-01,221.25564906709,2.34955850625214
2020-03-01,221.311282254863,2.49882704608171
2020-04-01,222.061556173085,2.40517225892969
2020-05-01,223.092266772529,3.42851269424876
2020-06-01,223.759865025804,3.63287163427245
2020-07-01,225.039182215165,4.12939954262724
2020-08-01,226.44282651846,4.54790606139645
2020-09-01,226.544374751886,4.51654717904698
2020-10-01,227.287336244541,3.93745814942629
2020-11-01,227.200714569274,3.87185777884785
2020-12-01,227.060857483128,4.23861217466316
2021-01-01,226.348984078848,2.55524824804581
2021-02-01,228.900940106141,3.45541054941953
2021-03-01,229.016793025019,3.48175234974336
2021-04-01,229.069886277483,3.15603034815073
2021-05-01,229.441539044731,2.84602974547565
2021-06-01,228.021106899166,1.90438167848855
2021-07-01,229.182847536012,1.84130838019377
2021-08-01,229.610248218347,1.39877325706729
2021-09-01,229.725991508719,1.40441216442366
2021-10-01,229.964139196361,1.17771759573062
2021-11-01,230.117047763457,1.28359331955113
2021-12-01,230.464277634572,1.49890218383248
2022-01-01,232.143013777352,2.55977720513477
2022-02-01,232.264345538938,1.46937161168362
2022-03-01,232.304505930892,1.43557721791786
2022-04-01,231.836611729168,1.20780845385054
2022-05-01,232.881054298976,1.49908132091743
2022-06-01,234.388900906211,2.79263358275897
2022-07-01,235.676055330435,2.83319971988871
2022-08-01,236.136640757386,2.84237859140874
2022-09-01,235.790425771753,2.63985551796122
2022-10-01,236.151653503279,2.69064312746357
2022-11-01,235.957970603404,2.53823995080566
2022-12-01,236.78793708097,2.74387836210557
2023-01-01,239.537858570382,3.18546945380922
2023-02-01,240.108726200786,3.37735033917788
2023-03-01,240.752416228099,3.63656755746288
2023-04-01,242.478423422823,4.59022050671052
2023-05-01,243.171739391113,4.4188588561292
2023-06-01,243.184244021051,3.75245716876322
2023-07-01,244.454686629805,3.72487195912252
2023-08-01,244.542253547399,3.55963935247509
2023-09-01,243.374198321231,3.21631912095513
2023-10-01,245.579992338952,3.99249325414615
2023-11-01,245.836562920525,4.18658979472452
2023-12-01,245.362561521551,3.62122519680944
2024-01-01,249.893752064599,4.3232804851908
2024-02-01,250.65333400624,4.39159707866504
2024-03-01,250.397111213067,4.00606363004447
2024-04-01,250.463246650762,3.2930036063517
2024-05-01,251.741851899431,3.52430448117733
2024-06-01,252.06666654432,3.652548527157
2024-07-01,252.913303725454,3.46019837552098
2024-08-01,253.949177830795,3.84674801468316
2024-09-01,254.022961277299,4.37546914567011
2024-10-01,254.959612405946,3.81937468832914
2024-11-01,255.168113048266,3.79583493068828
2024-12-01,255.240963479538,4.02604288801371
